Algoritmo,Score Promedio,Mejor Score,Tiempo Promedio (s),Desviación Estándar,Iteraciones para Converger
Random,177111.87929131318,201620.48492533274,0.4716160265604655,9126.545925403037,100.0
HillClimbing,204594.37546131745,233331.6710364638,0.47138118267059326,10889.314885069234,101.0
SimulatedAnnealing,203944.8258352372,227875.27099502226,0.4353903404871623,9853.221003999435,91.0
