Algoritmo,Score Promedio,Mejor Score,Tiempo Promedio (s),Desviación Estándar,Iteraciones para Converger
Random,-1.0,-1.0,0.5067592827479045,0.0,100.0
HillClimbing,-36298.72303280039,-20701.619744426338,0.475468012491862,5836.421518880735,101.0
SimulatedAnnealing,-36948.91381717338,-20796.402169301262,0.43902345021565753,6125.818101286633,91.0
