Algoritmo,Media,Mejor,Percentil90,DesvStd
Random,175433.85601824019,200123.61872991532,186351.84663272696,8131.701150156659
HillClimbing,125913.08909819658,176476.74118269142,148670.24978038095,18024.025822430733
SimulatedAnnealing,124966.50413997806,171195.37650184968,150808.92611025405,20959.772697150645
