Algoritmo,Score Promedio,Mejor Score,Tiempo Promedio (s),Desviación Estándar,Iteraciones para Converger
Random,175433.85601824019,200123.61872991532,0.45729662259419757,8131.701150156659,100.0
HillClimbing,125913.08909819658,176476.74118269142,0.4535095389684041,18024.025822430733,101.0
SimulatedAnnealing,124966.50413997806,171195.37650184968,0.44534490585327147,20959.772697150645,101.0
